0,,,
NOP,"LWD R3",NOP,NOP
NOP,"SADD R2, ZERO, ZERO",NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
1,,,
"LWD R0",NOP,"LWD R0",NOP
NOP,"LWD R0",NOP,"LWD R0"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
2,,,
"SADD ROUT, R0, ZERO",NOP,"SADD ROUT, R0, ZERO",NOP
NOP,"SADD ROUT, R0, ZERO",NOP,"SADD ROUT, R0, ZERO"
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
3,,,
NOP,"FXPMUL ROUT, RCR, RCB",NOP,"FXPMUL ROUT, RCL, RCR"
"FXPMUL ROUT, RCT, RCL",NOP,"FXPMUL ROUT, RCL, RCR",NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
4,,,
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
"LWD R0",NOP,"LWD R0",NOP
NOP,NOP,NOP,NOP
5,,,
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
6,,,
"SSUB ROUT, RCB, RCR",NOP,"SADD ROUT, RCB, RCR",NOP
NOP,"SSUB ROUT, RCL, RCT",NOP,"SADD ROUT, RCL, RCT"
"SADD ROUT, R0, ZERO",NOP,"SADD ROUT, R0, ZERO",NOP
NOP,NOP,NOP,NOP
7,,,
NOP,NOP,NOP,NOP
NOP,"SADD R2, R2, 1",NOP,NOP
NOP,"SADD ROUT, RCL, RCT",NOP,"SADD ROUT, RCL, RCT"
"SSUB R0, RCT, RCB",NOP,"SSUB R0, RCT, RCB",NOP
8,,,
NOP,NOP,NOP,NOP
NOP,"SADD ROUT, R2, ZERO",NOP,NOP
NOP,NOP,NOP,NOP
"SWD R0","SWD RCT","SWD R0","SWD RCT"
9,,,
NOP,"BNE RCB, R3, 1",NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
10,,,
"EXIT",NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
NOP,NOP,NOP,NOP
